Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2019-08-31,2883.98,,,256.18125,1.73,2883.98,,,28.951354811285
2019-07-31,2996.11,,,256.1685,2.06,2996.2591221696,,,30.309121506267
2019-06-30,2890.17,56.08,,256.143,2.07,2890.601590957,56.088374462702,,29.467518816387
2019-05-31,2854.71,55.7,,256.092,2.4,2855.7048880383,55.719411871515,,29.336340268026
2019-04-30,2903.8,55.32,,255.548,2.53,2910.9956397624,55.457083405075,,30.133517171388
2019-03-31,2803.98,54.94,134.39,254.202,2.57,2825.8121548021,55.367770021479,135.43637810678,29.576196014785
2019-02-28,2754.86,54.543333333333,133.72333333333,252.776,2.68,2791.9718579889,55.278109126262,135.52477564128,29.541548965131
2019-01-31,2607.39,54.146666666667,133.05666666667,251.712,2.71,2653.6852809461,55.108062984681,135.41914246242,28.380164463548
2018-12-31,2567.31,53.75,132.39,251.233,2.83,2617.8753783838,54.808652475988,134.99753490783,28.291857012073
2018-11-30,2723.23,53.28,131.72333333333,252.038,3.12,2767.9971489914,54.155869353034,133.8887318083,30.195583406705
2018-10-31,2785.46,52.81,131.05666666667,252.885,3.15,2821.767303814,53.49835621923,132.76493539554,31.037961078006
2018-09-30,2901.5,52.34,130.39,252.439,3.0,2944.5129194578,53.115907704436,132.32295004932,32.6228911205
2018-08-31,2857.82,51.89,127.75333333333,252.146,2.89,2903.555479266,52.720428095231,129.79784975768,32.390276880301
2018-07-31,2793.64,51.44,125.11666666667,252.006,2.89,2839.9251892812,52.29226089855,127.18960684468,31.886366962159
2018-06-30,2754.35,50.99,122.48,251.989,2.91,2800.1731263567,51.838302217557,124.51765553258,31.630556496455
2018-05-31,2701.49,50.66,120.13333333333,251.588,2.976,2750.8111875864,51.58490120753,122.32661136461,31.243615074865
2018-04-30,2653.63,50.33,117.78666666667,250.546,2.87,2713.3151215246,51.462016206605,120.43590997262,30.970179293325
2018-03-31,2702.77,50.0,115.44,249.554,2.84,2774.5457779178,51.327818828791,118.50566811191,31.808409057643
2018-02-28,2705.16,49.643333333333,113.58666666667,248.991,2.86,2783.2783925925,51.076911163456,116.86677128892,32.03538233925
2018-01-31,2789.8,49.286666666667,111.73333333333,247.867,2.58,2883.3787928607,50.939898715844,115.48122581868,33.307343828031
2017-12-31,2664.34,48.93,109.88,246.524,2.4,2768.7119778399,50.846767708215,114.18440293846,32.086132007706
2017-11-30,2593.61,48.676666666667,108.94666666667,246.669,2.35,2693.6268919585,50.553775758202,113.14795637068,31.29891333388
2017-10-31,2557.0,48.423333333333,108.01333333333,246.663,2.36,2655.6697042118,50.291896484272,112.18135979048,30.920393290334
2017-09-30,2492.84,48.17,107.08,246.819,2.2,2587.3975149806,49.997167205523,111.14172024844,30.168114410679
